id	java_package	java_paths	source_root	files	loc	crate	wave	cycle	needs_split	deps	status	attempts	notes
bukkit.block.structure	org.bukkit.block.structure	paper-api:org/bukkit/block/structure/Mirror.java,paper-api:org/bukkit/block/structure/StructureRotation.java,paper-api:org/bukkit/block/structure/UsageMode.java,paper-api:org/bukkit/block/structure/package-info.java	paper-api	4	86	rivet-api	0				pending	0	
bukkit.craftbukkit.bootstrap	org.bukkit.craftbukkit.bootstrap	paper-server:org/bukkit/craftbukkit/bootstrap/Main.java	paper-server	1	169	rivet-server	0				pending	0	
bukkit.inventory.recipe	org.bukkit.inventory.recipe	paper-api:org/bukkit/inventory/recipe/CookingBookCategory.java,paper-api:org/bukkit/inventory/recipe/CraftingBookCategory.java,paper-api:org/bukkit/inventory/recipe/package-info.java	paper-api	3	31	rivet-api	0				pending	0	
bukkit.packs	org.bukkit.packs	paper-api:org/bukkit/packs/ResourcePack.java,paper-api:org/bukkit/packs/package-info.java	paper-api	2	56	rivet-api	0				pending	0	
ca.spottedleaf.dataconverter.converters	ca.spottedleaf.dataconverter.converters	minecraft:ca/spottedleaf/dataconverter/converters/DataConverter.java	minecraft	1	54	rivet-server	0				done	0	port slice #535: DataConverter version encoding/ordering + ConverterBehavior trait
ca.spottedleaf.dataconverter.converters.datatypes	ca.spottedleaf.dataconverter.converters.datatypes	minecraft:ca/spottedleaf/dataconverter/converters/datatypes/DataHook.java,minecraft:ca/spottedleaf/dataconverter/converters/datatypes/DataType.java,minecraft:ca/spottedleaf/dataconverter/converters/datatypes/DataWalker.java	minecraft	3	39	rivet-server	0				done	0	port slice #535: DataHook/DataType/DataWalker contracts
ca.spottedleaf.dataconverter.minecraft.converters.advancements	ca.spottedleaf.dataconverter.minecraft.converters.advancements	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/advancements/ConverterAbstractAdvancementsRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/advancements/ConverterCriteriaRename.java	minecraft	2	70	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.attributes	ca.spottedleaf.dataconverter.minecraft.converters.attributes	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/attributes/ConverterAbstractAttributesRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/attributes/ConverterAbstractOldAttributesRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/attributes/ConverterAbstractPostV4307AttributesRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/attributes/ConverterEntityAttributesBaseValueUpdater.java	minecraft	4	223	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.blockname	ca.spottedleaf.dataconverter.minecraft.converters.blockname	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/blockname/ConverterAbstractBlockRename.java	minecraft	1	64	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.entity	ca.spottedleaf.dataconverter.minecraft.converters.entity	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/entity/ConverterAbstractEntityRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/entity/ConverterEntityToVariant.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/entity/ConverterEntityVariantRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/entity/ConverterFlattenEntity.java	minecraft	4	490	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.itemname	ca.spottedleaf.dataconverter.minecraft.converters.itemname	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/itemname/ConverterAbstractItemRename.java	minecraft	1	18	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.leveldat	ca.spottedleaf.dataconverter.minecraft.converters.leveldat	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/leveldat/ConverterRemoveFeatureFlag.java	minecraft	1	46	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.options	ca.spottedleaf.dataconverter.minecraft.converters.options	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/options/ConverterAbstractOptionsRename.java	minecraft	1	28	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.poi	ca.spottedleaf.dataconverter.minecraft.converters.poi	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/poi/ConverterAbstractPOIRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/poi/ConverterPoiDelete.java	minecraft	2	106	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.recipe	ca.spottedleaf.dataconverter.minecraft.converters.recipe	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/recipe/ConverterAbstractRecipeRename.java	minecraft	1	18	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.stats	ca.spottedleaf.dataconverter.minecraft.converters.stats	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/stats/ConverterAbstractStatsRename.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/stats/ConverterFlattenStats.java	minecraft	2	387	rivet-server	0				pending	0	
ca.spottedleaf.dataconverter.minecraft.converters.tileentity	ca.spottedleaf.dataconverter.minecraft.converters.tileentity	minecraft:ca/spottedleaf/dataconverter/minecraft/converters/tileentity/ConverterAbstractTileEntityRemove.java,minecraft:ca/spottedleaf/dataconverter/minecraft/converters/tileentity/ConverterAbstractTileEntityRename.java	minecraft	2	147	rivet-server	0				pending	0	
