00000	00377
0037A	0037F
00384	0038A
0038C	0038C
0038E	003A1
003A3	0052F
00531	00556
00559	0058A
0058D	0058F
00591	005C7
005D0	005EA
005EF	005F4
00600	0070D
0070F	0074A
0074D	007B1
007C0	007FA
007FD	0082D
00830	0083E
00840	0085B
0085E	0085E
00860	0086A
00870	0088E
00890	00891
00897	00983
00985	0098C
0098F	00990
00993	009A8
009AA	009B0
009B2	009B2
009B6	009B9
009BC	009C4
009C7	009C8
009CB	009CE
009D7	009D7
009DC	009DD
009DF	009E3
009E6	009FE
00A01	00A03
00A05	00A0A
00A0F	00A10
00A13	00A28
00A2A	00A30
00A32	00A33
00A35	00A36
00A38	00A39
00A3C	00A3C
00A3E	00A42
00A47	00A48
00A4B	00A4D
00A51	00A51
00A59	00A5C
00A5E	00A5E
00A66	00A76
00A81	00A83
00A85	00A8D
00A8F	00A91
00A93	00AA8
00AAA	00AB0
00AB2	00AB3
00AB5	00AB9
00ABC	00AC5
00AC7	00AC9
00ACB	00ACD
00AD0	00AD0
00AE0	00AE3
00AE6	00AF1
00AF9	00AFF
00B01	00B03
00B05	00B0C
00B0F	00B10
00B13	00B28
00B2A	00B30
00B32	00B33
00B35	00B39
00B3C	00B44
00B47	00B48
00B4B	00B4D
00B55	00B57
00B5C	00B5D
00B5F	00B63
00B66	00B77
00B82	00B83
00B85	00B8A
00B8E	00B90
00B92	00B95
00B99	00B9A
00B9C	00B9C
00B9E	00B9F
00BA3	00BA4
00BA8	00BAA
00BAE	00BB9
00BBE	00BC2
00BC6	00BC8
00BCA	00BCD
00BD0	00BD0
00BD7	00BD7
00BE6	00BFA
00C00	00C0C
00C0E	00C10
00C12	00C28
00C2A	00C39
00C3C	00C44
00C46	00C48
00C4A	00C4D
00C55	00C56
00C58	00C5A
00C5D	00C5D
00C60	00C63
00C66	00C6F
00C77	00C8C
00C8E	00C90
00C92	00CA8
00CAA	00CB3
00CB5	00CB9
00CBC	00CC4
00CC6	00CC8
00CCA	00CCD
00CD5	00CD6
00CDD	00CDE
00CE0	00CE3
00CE6	00CEF
00CF1	00CF3
00D00	00D0C
00D0E	00D10
00D12	00D44
00D46	00D48
00D4A	00D4F
00D54	00D63
00D66	00D7F
00D81	00D83
00D85	00D96
00D9A	00DB1
00DB3	00DBB
00DBD	00DBD
00DC0	00DC6
00DCA	00DCA
00DCF	00DD4
00DD6	00DD6
00DD8	00DDF
00DE6	00DEF
00DF2	00DF4
00E01	00E3A
00E3F	00E5B
00E81	00E82
00E84	00E84
00E86	00E8A
00E8C	00EA3
00EA5	00EA5
00EA7	00EBD
00EC0	00EC4
00EC6	00EC6
00EC8	00ECE
00ED0	00ED9
00EDC	00EDF
00F00	00F47
00F49	00F6C
00F71	00F97
00F99	00FBC
00FBE	00FCC
00FCE	00FDA
01000	010C5
010C7	010C7
010CD	010CD
010D0	01248
0124A	0124D
01250	01256
01258	01258
0125A	0125D
01260	01288
0128A	0128D
01290	012B0
012B2	012B5
012B8	012BE
012C0	012C0
012C2	012C5
012C8	012D6
012D8	01310
01312	01315
01318	0135A
0135D	0137C
01380	01399
013A0	013F5
013F8	013FD
01400	0169C
016A0	016F8
01700	01715
0171F	01736
01740	01753
01760	0176C
0176E	01770
01772	01773
01780	017DD
017E0	017E9
017F0	017F9
01800	01819
01820	01878
01880	018AA
018B0	018F5
01900	0191E
01920	0192B
01930	0193B
01940	01940
01944	0196D
01970	01974
01980	019AB
019B0	019C9
019D0	019DA
019DE	01A1B
01A1E	01A5E
01A60	01A7C
01A7F	01A89
01A90	01A99
01AA0	01AAD
01AB0	01ACE
01B00	01B4C
01B4E	01BF3
01BFC	01C37
01C3B	01C49
01C4D	01C8A
01C90	01CBA
01CBD	01CC7
01CD0	01CFA
01D00	01F15
01F18	01F1D
01F20	01F45
01F48	01F4D
01F50	01F57
01F59	01F59
01F5B	01F5B
01F5D	01F5D
01F5F	01F7D
01F80	01FB4
01FB6	01FC4
01FC6	01FD3
01FD6	01FDB
01FDD	01FEF
01FF2	01FF4
01FF6	01FFE
02000	02064
02066	02071
02074	0208E
02090	0209C
020A0	020C0
020D0	020F0
02100	0218B
02190	02429
02440	0244A
