00000	BASIC LATIN
00080	LATIN 1 SUPPLEMENT
00100	LATIN EXTENDED A
00180	LATIN EXTENDED B
00250	IPA EXTENSIONS
002B0	SPACING MODIFIER LETTERS
00300	COMBINING DIACRITICAL MARKS
00370	GREEK
00400	CYRILLIC
00500	CYRILLIC SUPPLEMENTARY
00530	ARMENIAN
00590	HEBREW
00600	ARABIC
00700	SYRIAC
00750	ARABIC SUPPLEMENT
00780	THAANA
007C0	NKO
00800	SAMARITAN
00840	MANDAIC
00860	SYRIAC SUPPLEMENT
00870	ARABIC EXTENDED B
008A0	ARABIC EXTENDED A
00900	DEVANAGARI
00980	BENGALI
00A00	GURMUKHI
00A80	GUJARATI
00B00	ORIYA
00B80	TAMIL
00C00	TELUGU
00C80	KANNADA
00D00	MALAYALAM
00D80	SINHALA
00E00	THAI
00E80	LAO
00F00	TIBETAN
01000	MYANMAR
010A0	GEORGIAN
01100	HANGUL JAMO
01200	ETHIOPIC
01380	ETHIOPIC SUPPLEMENT
013A0	CHEROKEE
01400	UNIFIED CANADIAN ABORIGINAL SYLLABICS
01680	OGHAM
016A0	RUNIC
01700	TAGALOG
01720	HANUNOO
01740	BUHID
01760	TAGBANWA
01780	KHMER
01800	MONGOLIAN
018B0	UNIFIED CANADIAN ABORIGINAL SYLLABICS EXTENDED
01900	LIMBU
01950	TAI LE
01980	NEW TAI LUE
019E0	KHMER SYMBOLS
01A00	BUGINESE
01A20	TAI THAM
01AB0	COMBINING DIACRITICAL MARKS EXTENDED
01B00	BALINESE
01B80	SUNDANESE
01BC0	BATAK
01C00	LEPCHA
01C50	OL CHIKI
01C80	CYRILLIC EXTENDED C
01C90	GEORGIAN EXTENDED
01CC0	SUNDANESE SUPPLEMENT
01CD0	VEDIC EXTENSIONS
01D00	PHONETIC EXTENSIONS
01D80	PHONETIC EXTENSIONS SUPPLEMENT
01DC0	COMBINING DIACRITICAL MARKS SUPPLEMENT
01E00	LATIN EXTENDED ADDITIONAL
01F00	GREEK EXTENDED
02000	GENERAL PUNCTUATION
02070	SUPERSCRIPTS AND SUBSCRIPTS
020A0	CURRENCY SYMBOLS
020D0	COMBINING MARKS FOR SYMBOLS
02100	LETTERLIKE SYMBOLS
02150	NUMBER FORMS
02190	ARROWS
02200	MATHEMATICAL OPERATORS
02300	MISCELLANEOUS TECHNICAL
02400	CONTROL PICTURES
02440	OPTICAL CHARACTER RECOGNITION
02460	ENCLOSED ALPHANUMERICS
02500	BOX DRAWING
02580	BLOCK ELEMENTS
025A0	GEOMETRIC SHAPES
02600	MISCELLANEOUS SYMBOLS
02700	DINGBATS
027C0	MISCELLANEOUS MATHEMATICAL SYMBOLS A
027F0	SUPPLEMENTAL ARROWS A
02800	BRAILLE PATTERNS
02900	SUPPLEMENTAL ARROWS B
02980	MISCELLANEOUS MATHEMATICAL SYMBOLS B
02A00	SUPPLEMENTAL MATHEMATICAL OPERATORS
02B00	MISCELLANEOUS SYMBOLS AND ARROWS
02C00	GLAGOLITIC
02C60	LATIN EXTENDED C
02C80	COPTIC
02D00	GEORGIAN SUPPLEMENT
02D30	TIFINAGH
02D80	ETHIOPIC EXTENDED
02DE0	CYRILLIC EXTENDED A
02E00	SUPPLEMENTAL PUNCTUATION
02E80	CJK RADICALS SUPPLEMENT
02F00	KANGXI RADICALS
02FE0	<none>
02FF0	IDEOGRAPHIC DESCRIPTION CHARACTERS
03000	CJK SYMBOLS AND PUNCTUATION
03040	HIRAGANA
030A0	KATAKANA
03100	BOPOMOFO
03130	HANGUL COMPATIBILITY JAMO
03190	KANBUN
031A0	BOPOMOFO EXTENDED
031C0	CJK STROKES
031F0	KATAKANA PHONETIC EXTENSIONS
03200	ENCLOSED CJK LETTERS AND MONTHS
03300	CJK COMPATIBILITY
03400	CJK UNIFIED IDEOGRAPHS EXTENSION A
04DC0	YIJING HEXAGRAM SYMBOLS
04E00	CJK UNIFIED IDEOGRAPHS
0A000	YI SYLLABLES
0A490	YI RADICALS
0A4D0	LISU
0A500	VAI
0A640	CYRILLIC EXTENDED B
0A6A0	BAMUM
0A700	MODIFIER TONE LETTERS
0A720	LATIN EXTENDED D
0A800	SYLOTI NAGRI
0A830	COMMON INDIC NUMBER FORMS
0A840	PHAGS PA
0A880	SAURASHTRA
0A8E0	DEVANAGARI EXTENDED
0A900	KAYAH LI
0A930	REJANG
0A960	HANGUL JAMO EXTENDED A
0A980	JAVANESE
0A9E0	MYANMAR EXTENDED B
0AA00	CHAM
0AA60	MYANMAR EXTENDED A
0AA80	TAI VIET
0AAE0	MEETEI MAYEK EXTENSIONS
0AB00	ETHIOPIC EXTENDED A
0AB30	LATIN EXTENDED E
0AB70	CHEROKEE SUPPLEMENT
0ABC0	MEETEI MAYEK
0AC00	HANGUL SYLLABLES
0D7B0	HANGUL JAMO EXTENDED B
0D800	HIGH SURROGATES
0DB80	HIGH PRIVATE USE SURROGATES
0DC00	LOW SURROGATES
0E000	PRIVATE USE AREA
0F900	CJK COMPATIBILITY IDEOGRAPHS
0FB00	ALPHABETIC PRESENTATION FORMS
0FB50	ARABIC PRESENTATION FORMS A
0FE00	VARIATION SELECTORS
0FE10	VERTICAL FORMS
0FE20	COMBINING HALF MARKS
0FE30	CJK COMPATIBILITY FORMS
0FE50	SMALL FORM VARIANTS
0FE70	ARABIC PRESENTATION FORMS B
0FF00	HALFWIDTH AND FULLWIDTH FORMS
0FFF0	SPECIALS
10000	LINEAR B SYLLABARY
10080	LINEAR B IDEOGRAMS
10100	AEGEAN NUMBERS
10140	ANCIENT GREEK NUMBERS
10190	ANCIENT SYMBOLS
101D0	PHAISTOS DISC
10200	<none>
10280	LYCIAN
102A0	CARIAN
102E0	COPTIC EPACT NUMBERS
10300	OLD ITALIC
10330	GOTHIC
10350	OLD PERMIC
10380	UGARITIC
103A0	OLD PERSIAN
103E0	<none>
10400	DESERET
10450	SHAVIAN
10480	OSMANYA
104B0	OSAGE
10500	ELBASAN
10530	CAUCASIAN ALBANIAN
10570	VITHKUQI
105C0	TODHRI
10600	LINEAR A
10780	LATIN EXTENDED F
107C0	<none>
10800	CYPRIOT SYLLABARY
10840	IMPERIAL ARAMAIC
10860	PALMYRENE
10880	NABATAEAN
108B0	<none>
108E0	HATRAN
10900	PHOENICIAN
10920	LYDIAN
10940	<none>
10980	MEROITIC HIEROGLYPHS
109A0	MEROITIC CURSIVE
10A00	KHAROSHTHI
10A60	OLD SOUTH ARABIAN
10A80	OLD NORTH ARABIAN
10AA0	<none>
10AC0	MANICHAEAN
10B00	AVESTAN
10B40	INSCRIPTIONAL PARTHIAN
10B60	INSCRIPTIONAL PAHLAVI
10B80	PSALTER PAHLAVI
10BB0	<none>
10C00	OLD TURKIC
10C50	<none>
10C80	OLD HUNGARIAN
10D00	HANIFI ROHINGYA
10D40	GARAY
10D90	<none>
10E60	RUMI NUMERAL SYMBOLS
10E80	YEZIDI
10EC0	ARABIC EXTENDED C
10F00	OLD SOGDIAN
10F30	SOGDIAN
10F70	OLD UYGHUR
10FB0	CHORASMIAN
10FE0	ELYMAIC
11000	BRAHMI
11080	KAITHI
110D0	SORA SOMPENG
11100	CHAKMA
11150	MAHAJANI
11180	SHARADA
111E0	SINHALA ARCHAIC NUMBERS
11200	KHOJKI
11250	<none>
11280	MULTANI
112B0	KHUDAWADI
11300	GRANTHA
11380	TULU TIGALARI
11400	NEWA
11480	TIRHUTA
114E0	<none>
11580	SIDDHAM
11600	MODI
11660	MONGOLIAN SUPPLEMENT
11680	TAKRI
116D0	MYANMAR EXTENDED C
11700	AHOM
11750	<none>
11800	DOGRA
11850	<none>
118A0	WARANG CITI
11900	DIVES AKURU
11960	<none>
119A0	NANDINAGARI
11A00	ZANABAZAR SQUARE
11A50	SOYOMBO
11AB0	UNIFIED CANADIAN ABORIGINAL SYLLABICS EXTENDED A
11AC0	PAU CIN HAU
11B00	DEVANAGARI EXTENDED A
11B60	<none>
11BC0	SUNUWAR
11C00	BHAIKSUKI
11C70	MARCHEN
