ABACUS	1F9EE
AC CURRENT	23E6
ACCORDION	1FA97
ACCOUNT OF	2100
ACKNOWLEDGE	0006
ACTIVATE ARABIC FORM SHAPING	206D
ACTIVATE SYMMETRIC SWAPPING	206B
ACUTE ACCENT	00B4
ACUTE ANGLE	299F
ADDRESSED TO THE SUBJECT	2101
ADHESIVE BANDAGE	1FA79
ADI SHAKTI	262C
ADLAM ALIF LENGTHENER	1E944
ADLAM CAPITAL LETTER ALIF	1E900
ADLAM CAPITAL LETTER BA	1E904
ADLAM CAPITAL LETTER BHE	1E907
ADLAM CAPITAL LETTER CHI	1E915
ADLAM CAPITAL LETTER DAALI	1E901
ADLAM CAPITAL LETTER DHA	1E90D
ADLAM CAPITAL LETTER E	1E909
ADLAM CAPITAL LETTER FA	1E90A
ADLAM CAPITAL LETTER GA	1E918
ADLAM CAPITAL LETTER GBE	1E91E
ADLAM CAPITAL LETTER HA	1E916
ADLAM CAPITAL LETTER I	1E90B
ADLAM CAPITAL LETTER JIIM	1E914
ADLAM CAPITAL LETTER KAF	1E911
ADLAM CAPITAL LETTER KHA	1E91D
ADLAM CAPITAL LETTER KPO	1E920
ADLAM CAPITAL LETTER LAAM	1E902
ADLAM CAPITAL LETTER MIIM	1E903
ADLAM CAPITAL LETTER NHA	1E91B
ADLAM CAPITAL LETTER NUN	1E910
ADLAM CAPITAL LETTER NYA	1E919
ADLAM CAPITAL LETTER O	1E90C
ADLAM CAPITAL LETTER PE	1E906
ADLAM CAPITAL LETTER QAAF	1E917
ADLAM CAPITAL LETTER RA	1E908
ADLAM CAPITAL LETTER SHA	1E921
ADLAM CAPITAL LETTER SINNYIIYHE	1E905
ADLAM CAPITAL LETTER TU	1E91A
ADLAM CAPITAL LETTER U	1E913
ADLAM CAPITAL LETTER VA	1E91C
ADLAM CAPITAL LETTER WAW	1E90F
ADLAM CAPITAL LETTER YA	1E912
ADLAM CAPITAL LETTER YHE	1E90E
ADLAM CAPITAL LETTER ZAL	1E91F
ADLAM CONSONANT MODIFIER	1E948
ADLAM DIGIT EIGHT	1E958
ADLAM DIGIT FIVE	1E955
ADLAM DIGIT FOUR	1E954
ADLAM DIGIT NINE	1E959
ADLAM DIGIT ONE	1E951
ADLAM DIGIT SEVEN	1E957
ADLAM DIGIT SIX	1E956
ADLAM DIGIT THREE	1E953
ADLAM DIGIT TWO	1E952
ADLAM DIGIT ZERO	1E950
ADLAM GEMINATE CONSONANT MODIFIER	1E949
ADLAM GEMINATION MARK	1E946
ADLAM HAMZA	1E947
ADLAM INITIAL EXCLAMATION MARK	1E95E
ADLAM INITIAL QUESTION MARK	1E95F
ADLAM NASALIZATION MARK	1E94B
ADLAM NUKTA	1E94A
ADLAM SMALL LETTER ALIF	1E922
ADLAM SMALL LETTER BA	1E926
ADLAM SMALL LETTER BHE	1E929
ADLAM SMALL LETTER CHI	1E937
ADLAM SMALL LETTER DAALI	1E923
ADLAM SMALL LETTER DHA	1E92F
ADLAM SMALL LETTER E	1E92B
ADLAM SMALL LETTER FA	1E92C
ADLAM SMALL LETTER GA	1E93A
ADLAM SMALL LETTER GBE	1E940
ADLAM SMALL LETTER HA	1E938
ADLAM SMALL LETTER I	1E92D
ADLAM SMALL LETTER JIIM	1E936
ADLAM SMALL LETTER KAF	1E933
ADLAM SMALL LETTER KHA	1E93F
ADLAM SMALL LETTER KPO	1E942
ADLAM SMALL LETTER LAAM	1E924
ADLAM SMALL LETTER MIIM	1E925
ADLAM SMALL LETTER NHA	1E93D
ADLAM SMALL LETTER NUN	1E932
ADLAM SMALL LETTER NYA	1E93B
ADLAM SMALL LETTER O	1E92E
ADLAM SMALL LETTER PE	1E928
ADLAM SMALL LETTER QAAF	1E939
ADLAM SMALL LETTER RA	1E92A
ADLAM SMALL LETTER SHA	1E943
ADLAM SMALL LETTER SINNYIIYHE	1E927
ADLAM SMALL LETTER TU	1E93C
ADLAM SMALL LETTER U	1E935
ADLAM SMALL LETTER VA	1E93E
ADLAM SMALL LETTER WAW	1E931
ADLAM SMALL LETTER YA	1E934
ADLAM SMALL LETTER YHE	1E930
ADLAM SMALL LETTER ZAL	1E941
ADLAM VOWEL LENGTHENER	1E945
ADMETOS	2BE5
ADMISSION TICKETS	1F39F
ADULT	1F9D1
AEGEAN CHECK MARK	10102
AEGEAN DRY MEASURE FIRST SUBUNIT	1013C
AEGEAN LIQUID MEASURE FIRST SUBUNIT	1013D
AEGEAN MEASURE SECOND SUBUNIT	1013E
AEGEAN MEASURE THIRD SUBUNIT	1013F
AEGEAN NUMBER EIGHT	1010E
AEGEAN NUMBER EIGHT HUNDRED	10120
AEGEAN NUMBER EIGHT THOUSAND	10129
AEGEAN NUMBER EIGHTY	10117
AEGEAN NUMBER EIGHTY THOUSAND	10132
AEGEAN NUMBER FIFTY	10114
